S,B,layer,kernel,us
32,1,conv1,aten::cudnn_convolution,24.66779999999999
32,1,conv1,Activity Buffer Request,2.5630999999999857
32,1,conv1,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",24.66779999999999
32,1,pool1,aten::max_pool2d_with_indices,6.790300000000025
32,1,pool1,Activity Buffer Request,0.6815999999999803
32,1,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",6.790300000000025
32,1,conv2,aten::cudnn_convolution,83.96779999999981
32,1,conv2,Activity Buffer Request,9.09399999999996
32,1,conv2,"void flip_filter<float, float>(float*, float const*, int, int, int, int)",10.284100000000034
32,1,conv2,"void fft2d_r2c_16x16<float>(float2*, float const*, int, int, int, int, int, int, int, int)",46.76309999999999
32,1,conv2,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2>, float2> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2>, float2>)",15.804199999999991
32,1,conv2,"void fft2d_c2r_16x16<float, false>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, cudnnActivationStruct, float*, float*)",11.116399999999794
32,1,conv3,aten::cudnn_convolution,77.39820000000005
32,1,conv3,Activity Buffer Request,8.176000000000021
32,1,conv3,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",77.39820000000005
32,1,conv4,aten::cudnn_convolution,13.945000000000027
32,1,conv4,Activity Buffer Request,1.4016000000000077
32,1,conv4,volta_sgemm_32x32_sliced1x4_nn,13.945000000000027
32,1,conv5,aten::cudnn_convolution,290.5631000000001
32,1,conv5,Activity Buffer Request,30.210200000000007
32,1,conv5,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",290.5631000000001
32,1,conv6,aten::cudnn_convolution,19.50969999999993
32,1,conv6,Activity Buffer Request,1.9775000000000091
32,1,conv6,volta_sgemm_32x32_sliced1x4_nn,19.50969999999993
32,1,pool2,aten::mean,5.6543999999999865
32,1,pool2,Activity Buffer Request,0.5632000000000061
32,1,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",5.6543999999999865
32,1,fc1,aten::addmm,6.665400000000022
32,1,fc1,Activity Buffer Request,0.6750999999999976
32,1,fc1,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",6.665400000000022
32,1,relu,aten::clamp_min_,3.2990999999999984
32,1,relu,Activity Buffer Request,0.3296000000000049
32,1,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.2990999999999984
32,1,fc2,aten::addmm,6.854100000000107
32,1,fc2,Activity Buffer Request,0.671900000000005
32,1,fc2,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",6.854100000000107
32,8,conv1,aten::cudnn_convolution,56.794900000000055
32,8,conv1,Activity Buffer Request,5.663699999999972
32,8,conv1,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.618899999999985
32,8,conv1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1,53.176000000000066
32,8,pool1,aten::max_pool2d_with_indices,7.776099999999952
32,8,pool1,Activity Buffer Request,0.7744999999999891
32,8,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",7.776099999999952
32,8,conv2,aten::cudnn_convolution,134.17219999999998
32,8,conv2,Activity Buffer Request,13.333899999999971
32,8,conv2,"void flip_filter<float, float>(float*, float const*, int, int, int, int)",10.508699999999953
32,8,conv2,"void fft2d_r2c_16x16<float>(float2*, float const*, int, int, int, int, int, int, int, int)",64.37569999999997
32,8,conv2,volta_gcgemm_64x32_tn,45.09320000000007
32,8,conv2,"void fft2d_c2r_16x16<float, false>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, cudnnActivationStruct, float*, float*)",14.19459999999999
32,8,conv3,aten::cudnn_convolution,77.10189999999997
32,8,conv3,Activity Buffer Request,7.919800000000009
32,8,conv3,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",77.10189999999997
32,8,conv4,aten::cudnn_convolution,22.981600000000025
32,8,conv4,Activity Buffer Request,2.3070999999999913
32,8,conv4,"void cudnn::cnn::kern_precompute_indices<false>(int*, int, int, int, int, int)",2.825599999999986
32,8,conv4,"void precomputed_convolve_sgemm<float, 1024, 5, 5, 4, 3, 3, 1, false>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, float const*, float const*, int*)",20.15600000000004
32,8,conv5,aten::cudnn_convolution,292.1924000000001
32,8,conv5,Activity Buffer Request,31.1318
32,8,conv5,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",292.1924000000001
32,8,conv6,aten::cudnn_convolution,37.19889999999996
32,8,conv6,Activity Buffer Request,3.9742999999999937
32,8,conv6,"void cudnn::cnn::kern_precompute_indices<false>(int*, int, int, int, int, int)",3.123099999999977
32,8,conv6,"void precomputed_convolve_sgemm<float, 1024, 5, 5, 4, 3, 3, 1, false>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, float const*, float const*, int*)",34.07579999999998
32,8,pool2,aten::mean,5.788799999999992
32,8,pool2,Activity Buffer Request,0.5791999999999916
32,8,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",5.788799999999992
32,8,fc1,aten::addmm,14.025200000000074
32,8,fc1,Activity Buffer Request,1.3726999999999976
32,8,fc1,"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",14.025200000000074
32,8,relu,aten::clamp_min_,3.0783999999999425
32,8,relu,Activity Buffer Request,0.3039999999999964
32,8,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.0783999999999425
32,8,fc2,aten::addmm,8.361500000000058
32,8,fc2,Activity Buffer Request,0.832000000000005
32,8,fc2,"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",8.361500000000058
32,64,conv1,aten::cudnn_convolution,107.97349999999999
32,64,conv1,Activity Buffer Request,10.889100000000008
32,64,conv1,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.5997999999999593
