S,B,cap,oom,memory
32,1,1563708620.8000002,False,13745152.0
32,2,1563708620.8000002,False,18874368.0
32,4,1563708620.8000002,False,19095552.0
32,8,1563708620.8000002,False,19537920.0
32,16,1563708620.8000002,False,14843904.0
32,32,1563708620.8000002,False,15958016.0
32,64,1563708620.8000002,False,18186240.0
32,111,1563708620.8000002,False,52963840.0
32,128,1563708620.8000002,False,59342848.0
32,133,1563708620.8000002,False,61665280.0
32,139,1563708620.8000002,False,62755328.0
32,256,1563708620.8000002,False,103669760.0
64,1,1563708620.8000002,False,23969792.0
64,2,1563708620.8000002,False,24117248.0
64,4,1563708620.8000002,False,24903680.0
64,8,1563708620.8000002,False,17793536.0
64,16,1563708620.8000002,False,19497472.0
64,32,1563708620.8000002,False,22642688.0
64,64,1563708620.8000002,False,32210944.0
64,111,1563708620.8000002,False,68098560.0
64,128,1563708620.8000002,False,76644352.0
64,133,1563708620.8000002,False,79642624.0
64,139,1563708620.8000002,False,82199040.0
64,256,1563708620.8000002,False,138272768.0
80,1,1563708620.8000002,False,24052736.0
80,2,1563708620.8000002,False,24283136.0
80,4,1563708620.8000002,False,25235456.0
80,8,1563708620.8000002,False,18752000.0
80,16,1563708620.8000002,False,20692992.0
80,32,1563708620.8000002,False,27656192.0
80,64,1563708620.8000002,False,41582592.0
80,111,1563708620.8000002,False,79556096.0
80,128,1563708620.8000002,False,90931200.0
80,133,1563708620.8000002,False,93150208.0
80,139,1563708620.8000002,False,96527872.0
80,256,1563708620.8000002,False,223707136.0
128,1,1563708620.8000002,False,24412160.0
128,2,1563708620.8000002,False,17794048.0
128,4,1563708620.8000002,False,19497984.0
128,8,1563708620.8000002,False,22642688.0
128,16,1563708620.8000002,False,32210944.0
128,32,1563708620.8000002,False,49381376.0
128,64,1563708620.8000002,False,119316480.0
128,111,1563708620.8000002,False,197140480.0
128,128,1563708620.8000002,False,223518720.0
128,133,1563708620.8000002,False,243957760.0
128,139,1563708620.8000002,False,246710272.0
128,256,1563708620.8000002,False,431923200.0
208,1,1563708620.8000002,False,18340352.0
208,2,1563708620.8000002,False,20590080.0
208,4,1563708620.8000002,False,25497600.0
208,8,1563708620.8000002,False,37265408.0
208,16,1563708620.8000002,False,61718528.0
208,32,1563708620.8000002,False,140795904.0
208,64,1563708620.8000002,False,265650176.0
208,111,1563708620.8000002,False,450415616.0
208,128,1563708620.8000002,False,514170880.0
208,133,1563708620.8000002,False,559153152.0
208,139,1563708620.8000002,False,568402944.0
208,256,1563708620.8000002,False,1013284864.0
224,1,1563708620.8000002,False,18699776.0
224,2,1563708620.8000002,False,21308928.0
224,4,1563708620.8000002,False,27377664.0
224,8,1563708620.8000002,False,41025536.0
224,16,1563708620.8000002,False,68780032.0
224,32,1563708620.8000002,False,174673920.0
224,64,1563708620.8000002,False,335904768.0
224,111,1563708620.8000002,False,572041216.0
224,128,1563708620.8000002,False,655458304.0
224,133,1563708620.8000002,False,713443328.0
224,139,1563708620.8000002,False,725121024.0
224,256,1563708620.8000002,False,1292992512.0
256,1,1563708620.8000002,False,19499008.0
256,2,1563708620.8000002,False,22906880.0
256,4,1563708620.8000002,False,32210944.0
256,8,1563708620.8000002,False,49381376.0
256,16,1563708620.8000002,False,119316480.0
256,32,1563708620.8000002,False,223518720.0
256,64,1563708620.8000002,False,431923200.0
256,111,1563708620.8000002,False,744529920.0
256,128,1563708620.8000002,False,848732160.0
256,133,1563708620.8000002,False,928612352.0
256,139,1563708620.8000002,False,943030272.0
256,256,1563708620.8000002,False,1154580480.0
304,1,1563708620.8000002,False,20897280.0
304,2,1563708620.8000002,False,26779648.0
304,4,1563708620.8000002,False,39620608.0
304,8,1563708620.8000002,False,64004096.0
304,16,1563708620.8000002,False,153698304.0
304,32,1563708620.8000002,False,291143680.0
304,64,1563708620.8000002,False,565706752.0
304,111,1563708620.8000002,False,973778944.0
304,128,1563708620.8000002,False,1114464256.0
304,133,1563708620.8000002,False,1216093184.0
304,139,1563708620.8000002,False,1236387840.0
304,256,1563708620.8000002,True,
320,1,1563708620.8000002,False,21498368.0
320,2,1563708620.8000002,False,27656192.0
320,4,1563708620.8000002,False,41582592.0
320,8,1563708620.8000002,False,70746112.0
320,16,1563708620.8000002,False,159744000.0
320,32,1563708620.8000002,False,303136768.0
320,64,1563708620.8000002,False,588513280.0
320,111,1563708620.8000002,False,1013630976.0
320,128,1563708620.8000002,False,1159815168.0
320,133,1563708620.8000002,False,1263632384.0
320,139,1563708620.8000002,False,1286160384.0
320,256,1563708620.8000002,True,
384,1,1563708620.8000002,False,23822336.0
384,2,1563708620.8000002,False,33783808.0
384,4,1563708620.8000002,False,53837824.0
384,8,1563708620.8000002,False,95125504.0
384,16,1563708620.8000002,False,227639296.0
384,32,1563708620.8000002,False,436260864.0
384,64,1563708620.8000002,False,857407488.0
384,111,1563708620.8000002,False,1484802048.0
384,128,1563708620.8000002,False,1297186816.0
384,133,1563708620.8000002,False,1348501504.0
384,139,1563708620.8000002,False,1408008192.0
384,256,1563708620.8000002,True,
512,1,1563708620.8000002,False,32210944.0
512,2,1563708620.8000002,False,49381376.0
512,4,1563708620.8000002,False,85032960.0
512,8,1563708620.8000002,False,156336128.0
512,16,1563708620.8000002,False,399734784.0
512,32,1563708620.8000002,False,784355328.0
512,64,1563708620.8000002,False,1154580480.0
512,111,1563708620.8000002,True,
512,128,1563708620.8000002,True,
512,133,1563708620.8000002,True,
512,139,1563708620.8000002,True,
512,256,1563708620.8000002,True,
