S,b_max_fits,b_min_oom,peak_at_b_max,b_max_predicted,cap
32,4096,,1446502400,142158.85450312818,15637086208.0
64,4096,,2000150528,36401.691702991695,15637086208.0
80,4096,,3351158784,23365.08613721692,15637086208.0
128,4096,,6684770304,9155.939829261664,15637086208.0
208,4096,,12063965184,3471.724378448867,15637086208.0
224,4096,,13989150720,2993.794623132053,15637086208.0
256,3457,3458.0,15420719104,2292.4812635352805,15637086208.0
304,2459,2460.0,15468356608,1625.933869843124,15637086208.0
320,2175,2176.0,15159508992,1467.4569844266518,15637086208.0
384,1535,1536.0,15405973504,1019.1688444852877,15637086208.0
512,864,865.0,15415214080,573.3392524028066,15637086208.0
768,383,384.0,15377465344,254.8354731378354,15637086208.0
1024,216,217.0,15415214080,143.34850316778514,15637086208.0
